Flight Details,Flow Card?,Bags Checked,Meal Type,Date,Flight Number,Class,Price,From,To
2024-01-17//PA006//Tokyo-London//Business Class//712.79999999999995,Yes,3,Vegetarian,2024-01-17,PA006,Business Class,712.8,Tokyo,London
2024-04-08//PA003//London-Perth//First Class//525,Yes,2,Dairy Free,2024-04-08,PA003,First Class,525.0,London,Perth
2024-04-12//PA007//New York-Perth//First Class//696,Yes,1,Vegetarian,2024-04-12,PA007,First Class,696.0,New York,Perth
2024-09-03//PA004//Perth-London//Economy//3445,Yes,0,Vegetarian,2024-09-03,PA004,Economy,3445.0,Perth,London
2024-11-02//PA008//Perth-New York//First Class//242,Yes,2,Egg Free,2024-11-02,PA008,First Class,242.0,Perth,New York
2024-01-11//PA002//New York-London//First Class//406,Yes,3,Vegan,2024-01-11,PA002,First Class,406.0,New York,London
2024-08-07//PA005//London-Tokyo//Business Class//739.19999999999993,Yes,0,Nut Free,2024-08-07,PA005,Business Class,739.2,London,Tokyo
2024-02-25//PA010//Tokyo-New York//Economy//1495,Yes,3,Egg Free,2024-02-25,PA010,Economy,1495.0,Tokyo,New York
2024-12-04//PA003//London-Perth//Economy//2820,Yes,0,Vegetarian,2024-12-04,PA003,Economy,2820.0,London,Perth
2024-02-13//PA005//London-Tokyo//First Class//693,Yes,2,,2024-02-13,PA005,First Class,693.0,London,Tokyo
2024-03-23//PA005//London-Tokyo//Economy//3375,Yes,2,,2024-03-23,PA005,Economy,3375.0,London,Tokyo
2024-10-09//PA012//Tokyo-Perth//Economy//1340,Yes,2,Nut Free,2024-10-09,PA012,Economy,1340.0,Tokyo,Perth
2024-07-05//PA005//London-Tokyo//Premium Economy//1677.5,Yes,3,Dairy Free,2024-07-05,PA005,Premium Economy,1677.5,London,Tokyo
2024-06-09//PA003//London-Perth//Business Class//432,Yes,1,Vegan,2024-06-09,PA003,Business Class,432.0,London,Perth
2024-04-16//PA010//Tokyo-New York//Economy//3105,Yes,1,Dairy Free,2024-04-16,PA010,Economy,3105.0,Tokyo,New York
2024-08-19//PA001//London-New York//Economy//2550,Yes,3,Dairy Free,2024-08-19,PA001,Economy,2550.0,London,New York
2024-07-16//PA003//London-Perth//First Class//284,Yes,3,Nut Free,2024-07-16,PA003,First Class,284.0,London,Perth
2024-05-31//PA009//New York-Tokyo//Economy//2450,Yes,3,,2024-05-31,PA009,Economy,2450.0,New York,Tokyo
2024-07-25//PA007//New York-Perth//Business Class//573.60000000000002,Yes,1,Vegan,2024-07-25,PA007,Business Class,573.6,New York,Perth
2024-11-21//PA006//Tokyo-London//Economy//2270,Yes,2,Dairy Free,2024-11-21,PA006,Economy,2270.0,Tokyo,London
2024-07-28//PA010//Tokyo-New York//Premium Economy//1020,Yes,0,Nut Free,2024-07-28,PA010,Premium Economy,1020.0,Tokyo,New York
2024-08-16//PA007//New York-Perth//Premium Economy//1665,Yes,3,Egg Free,2024-08-16,PA007,Premium Economy,1665.0,New York,Perth
2024-03-18//PA003//London-Perth//Business Class//615.60000000000002,Yes,3,Nut Free,2024-03-18,PA003,Business Class,615.6,London,Perth
2024-09-21//PA002//New York-London//Premium Economy//1175,Yes,0,Vegan,2024-09-21,PA002,Premium Economy,1175.0,New York,London
2024-07-05//PA001//London-New York//Premium Economy//850,Yes,0,Egg Free,2024-07-05,PA001,Premium Economy,850.0,London,New York
2024-08-20//PA010//Tokyo-New York//Premium Economy//1365,Yes,0,Egg Free,2024-08-20,PA010,Premium Economy,1365.0,Tokyo,New York
2024-10-15//PA008//Perth-New York//Business Class//386.39999999999998,Yes,3,Egg Free,2024-10-15,PA008,Business Class,386.4,Perth,New York
2024-12-12//PA010//Tokyo-New York//Business Class//793.19999999999993,Yes,1,,2024-12-12,PA010,Business Class,793.2,Tokyo,New York
2024-02-14//PA006//Tokyo-London//Business Class//270,Yes,0,Dairy Free,2024-02-14,PA006,Business Class,270.0,Tokyo,London
2024-11-23//PA003//London-Perth//Business Class//538.79999999999995,Yes,1,Vegetarian,2024-11-23,PA003,Business Class,538.8,London,Perth
2024-02-14//PA002//New York-London//First Class//296,Yes,0,Vegetarian,2024-02-14,PA002,First Class,296.0,New York,London
2024-05-17//PA003//London-Perth//Business Class//379.19999999999999,Yes,3,Nut Free,2024-05-17,PA003,Business Class,379.2,London,Perth
2024-06-02//PA007//New York-Perth//First Class//612,Yes,0,Nut Free,2024-06-02,PA007,First Class,612.0,New York,Perth
2024-07-23//PA005//London-Tokyo//Premium Economy//1015,Yes,3,Nut Free,2024-07-23,PA005,Premium Economy,1015.0,London,Tokyo
2024-08-21//PA012//Tokyo-Perth//Business Class//572.39999999999998,Yes,0,,2024-08-21,PA012,Business Class,572.4,Tokyo,Perth
2024-03-17//PA005//London-Tokyo//Economy//2380,Yes,1,Egg Free,2024-03-17,PA005,Economy,2380.0,London,Tokyo
2024-11-27//PA007//New York-Perth//Premium Economy//692.5,Yes,0,Nut Free,2024-11-27,PA007,Premium Economy,692.5,New York,Perth
2024-07-25//PA009//New York-Tokyo//Business Class//734.39999999999998,Yes,2,Vegetarian,2024-07-25,PA009,Business Class,734.4,New York,Tokyo
2024-05-13//PA006//Tokyo-London//Premium Economy//1520,Yes,3,Vegetarian,2024-05-13,PA006,Premium Economy,1520.0,Tokyo,London
2024-09-28//PA011//Perth-Tokyo//Premium Economy//1397.5,Yes,2,Dairy Free,2024-09-28,PA011,Premium Economy,1397.5,Perth,Tokyo
2024-06-14//PA009//New York-Tokyo//First Class//383,Yes,0,Dairy Free,2024-06-14,PA009,First Class,383.0,New York,Tokyo
2024-06-08//PA007//New York-Perth//Economy//2825,Yes,2,Vegetarian,2024-06-08,PA007,Economy,2825.0,New York,Perth
2024-01-09//PA002//New York-London//First Class//342,Yes,2,Dairy Free,2024-01-09,PA002,First Class,342.0,New York,London
2024-11-22//PA003//London-Perth//Economy//2245,Yes,1,,2024-11-22,PA003,Economy,2245.0,London,Perth
2024-09-04//PA002//New York-London//Premium Economy//1387.5,Yes,2,Vegetarian,2024-09-04,PA002,Premium Economy,1387.5,New York,London
2024-09-19//PA009//New York-Tokyo//Premium Economy//675,Yes,2,Egg Free,2024-09-19,PA009,Premium Economy,675.0,New York,Tokyo
2024-02-27//PA004//Perth-London//First Class//535,Yes,3,Dairy Free,2024-02-27,PA004,First Class,535.0,Perth,London
2024-10-19//PA001//London-New York//Premium Economy//545,Yes,0,Nut Free,2024-10-19,PA001,Premium Economy,545.0,London,New York
2024-03-26//PA012//Tokyo-Perth//First Class//566,Yes,0,Dairy Free,2024-03-26,PA012,First Class,566.0,Tokyo,Perth
2024-09-27//PA002//New York-London//Premium Economy//625,Yes,2,Dairy Free,2024-09-27,PA002,Premium Economy,625.0,New York,London
2024-05-11//PA006//Tokyo-London//First Class//208,Yes,0,,2024-05-11,PA006,First Class,208.0,Tokyo,London
2024-06-25//PA012//Tokyo-Perth//Economy//2080,Yes,0,Vegetarian,2024-06-25,PA012,Economy,2080.0,Tokyo,Perth
2024-08-03//PA002//New York-London//First Class//284,Yes,0,,2024-08-03,PA002,First Class,284.0,New York,London
2024-04-27//PA011//Perth-Tokyo//Economy//3245,Yes,3,Vegetarian,2024-04-27,PA011,Economy,3245.0,Perth,Tokyo
2024-04-09//PA006//Tokyo-London//Premium Economy//710,Yes,2,Egg Free,2024-04-09,PA006,Premium Economy,710.0,Tokyo,London
2024-11-19//PA003//London-Perth//Premium Economy//1357.5,Yes,3,Vegan,2024-11-19,PA003,Premium Economy,1357.5,London,Perth
2024-06-24//PA006//Tokyo-London//First Class//245,Yes,1,Nut Free,2024-06-24,PA006,First Class,245.0,Tokyo,London
2024-02-12//PA011//Perth-Tokyo//Business Class//505.19999999999999,Yes,1,Vegetarian,2024-02-12,PA011,Business Class,505.2,Perth,Tokyo
2024-03-04//PA008//Perth-New York//Business Class//538.79999999999995,Yes,0,Egg Free,2024-03-04,PA008,Business Class,538.8,Perth,New York
2024-12-15//PA009//New York-Tokyo//Economy//1310,Yes,0,Egg Free,2024-12-15,PA009,Economy,1310.0,New York,Tokyo
2024-09-25//PA008//Perth-New York//First Class//642,Yes,3,Vegan,2024-09-25,PA008,First Class,642.0,Perth,New York
2024-02-23//PA002//New York-London//Premium Economy//547.5,Yes,2,Nut Free,2024-02-23,PA002,Premium Economy,547.5,New York,London
2024-01-27//PA004//Perth-London//Premium Economy//1147.5,Yes,2,Nut Free,2024-01-27,PA004,Premium Economy,1147.5,Perth,London
2024-06-20//PA008//Perth-New York//First Class//217,Yes,2,Egg Free,2024-06-20,PA008,First Class,217.0,Perth,New York
2024-10-14//PA011//Perth-Tokyo//Economy//2180,Yes,1,Nut Free,2024-10-14,PA011,Economy,2180.0,Perth,Tokyo
2024-04-01//PA004//Perth-London//Business Class//261.59999999999997,Yes,0,Dairy Free,2024-04-01,PA004,Business Class,261.6,Perth,London
2024-08-04//PA011//Perth-Tokyo//Economy//1005,Yes,1,Dairy Free,2024-08-04,PA011,Economy,1005.0,Perth,Tokyo
2024-04-09//PA007//New York-Perth//Premium Economy//842.5,Yes,3,Egg Free,2024-04-09,PA007,Premium Economy,842.5,New York,Perth
2024-08-18//PA002//New York-London//Premium Economy//1360,Yes,0,,2024-08-18,PA002,Premium Economy,1360.0,New York,London
2024-04-17//PA002//New York-London//Economy//1630,Yes,1,Vegan,2024-04-17,PA002,Economy,1630.0,New York,London
2024-01-15//PA004//Perth-London//Premium Economy//1472.5,Yes,0,Nut Free,2024-01-15,PA004,Premium Economy,1472.5,Perth,London
2024-02-10//PA009//New York-Tokyo//First Class//368,Yes,3,Vegan,2024-02-10,PA009,First Class,368.0,New York,Tokyo
2024-06-02//PA006//Tokyo-London//Premium Economy//1735,Yes,3,Vegan,2024-06-02,PA006,Premium Economy,1735.0,Tokyo,London
2024-10-06//PA010//Tokyo-New York//Premium Economy//992.5,Yes,3,Vegan,2024-10-06,PA010,Premium Economy,992.5,Tokyo,New York
2024-06-03//PA011//Perth-Tokyo//First Class//201,Yes,1,Vegetarian,2024-06-03,PA011,First Class,201.0,Perth,Tokyo
2024-12-10//PA002//New York-London//Economy//3030,Yes,2,Dairy Free,2024-12-10,PA002,Economy,3030.0,New York,London
2024-12-21//PA001//London-New York//Business Class//655.19999999999993,Yes,2,,2024-12-21,PA001,Business Class,655.2,London,New York
2024-09-10//PA011//Perth-Tokyo//Business Class//306,Yes,0,Dairy Free,2024-09-10,PA011,Business Class,306.0,Perth,Tokyo
2024-03-12//PA006//Tokyo-London//Economy//3010,Yes,3,Egg Free,2024-03-12,PA006,Economy,3010.0,Tokyo,London
2024-10-17//PA005//London-Tokyo//First Class//228,Yes,1,,2024-10-17,PA005,First Class,228.0,London,Tokyo
2024-08-24//PA003//London-Perth//Economy//1780,Yes,3,Dairy Free,2024-08-24,PA003,Economy,1780.0,London,Perth
2024-12-11//PA004//Perth-London//First Class//595,Yes,2,Vegan,2024-12-11,PA004,First Class,595.0,Perth,London
2024-08-01//PA003//London-Perth//Economy//2170,Yes,3,Nut Free,2024-08-01,PA003,Economy,2170.0,London,Perth
2024-07-31//PA010//Tokyo-New York//Premium Economy//1412.5,Yes,0,Vegan,2024-07-31,PA010,Premium Economy,1412.5,Tokyo,New York
2024-10-08//PA008//Perth-New York//Business Class//249.59999999999999,Yes,2,Nut Free,2024-10-08,PA008,Business Class,249.6,Perth,New York
2024-12-12//PA010//Tokyo-New York//Premium Economy//1437.5,Yes,1,Egg Free,2024-12-12,PA010,Premium Economy,1437.5,Tokyo,New York
2024-10-14//PA009//New York-Tokyo//Economy//1360,Yes,1,Dairy Free,2024-10-14,PA009,Economy,1360.0,New York,Tokyo
2024-10-25//PA008//Perth-New York//First Class//575,Yes,0,Nut Free,2024-10-25,PA008,First Class,575.0,Perth,New York
2024-08-07//PA002//New York-London//Premium Economy//832.5,Yes,0,,2024-08-07,PA002,Premium Economy,832.5,New York,London
2024-12-04//PA004//Perth-London//Economy//2540,Yes,3,Vegan,2024-12-04,PA004,Economy,2540.0,Perth,London
2024-07-28//PA005//London-Tokyo//First Class//263,Yes,2,,2024-07-28,PA005,First Class,263.0,London,Tokyo
2024-03-12//PA007//New York-Perth//Economy//2640,Yes,0,Vegan,2024-03-12,PA007,Economy,2640.0,New York,Perth
2024-05-11//PA003//London-Perth//Economy//2885,Yes,3,Vegetarian,2024-05-11,PA003,Economy,2885.0,London,Perth
2024-12-05//PA008//Perth-New York//Economy//2200,Yes,1,Nut Free,2024-12-05,PA008,Economy,2200.0,Perth,New York
2024-03-13//PA001//London-New York//Premium Economy//1422.5,Yes,0,Dairy Free,2024-03-13,PA001,Premium Economy,1422.5,London,New York
2024-12-05//PA012//Tokyo-Perth//Economy//2230,Yes,3,,2024-12-05,PA012,Economy,2230.0,Tokyo,Perth
2024-08-21//PA008//Perth-New York//First Class//300,Yes,0,Vegan,2024-08-21,PA008,First Class,300.0,Perth,New York
2024-10-31//PA010//Tokyo-New York//Premium Economy//780,Yes,2,,2024-10-31,PA010,Premium Economy,780.0,Tokyo,New York
2024-11-01//PA009//New York-Tokyo//Premium Economy//1585,Yes,1,Dairy Free,2024-11-01,PA009,Premium Economy,1585.0,New York,Tokyo
2024-06-04//PA010//Tokyo-New York//First Class//389,Yes,1,Egg Free,2024-06-04,PA010,First Class,389.0,Tokyo,New York
2024-06-12//PA012//Tokyo-Perth//Business Class//318,Yes,1,Nut Free,2024-06-12,PA012,Business Class,318.0,Tokyo,Perth
2024-08-13//PA011//Perth-Tokyo//Economy//1165,Yes,0,,2024-08-13,PA011,Economy,1165.0,Perth,Tokyo
2024-02-03//PA003//London-Perth//Premium Economy//1095,Yes,3,,2024-02-03,PA003,Premium Economy,1095.0,London,Perth
2024-08-20//PA005//London-Tokyo//Premium Economy//1632.5,Yes,2,Vegan,2024-08-20,PA005,Premium Economy,1632.5,London,Tokyo
2024-01-20//PA004//Perth-London//First Class//440,Yes,3,Dairy Free,2024-01-20,PA004,First Class,440.0,Perth,London
2024-05-04//PA007//New York-Perth//Premium Economy//1680,Yes,1,Nut Free,2024-05-04,PA007,Premium Economy,1680.0,New York,Perth
2024-01-03//PA006//Tokyo-London//Economy//1280,Yes,1,Dairy Free,2024-01-03,PA006,Economy,1280.0,Tokyo,London
2024-04-11//PA008//Perth-New York//First Class//676,Yes,1,Egg Free,2024-04-11,PA008,First Class,676.0,Perth,New York
2024-03-21//PA004//Perth-London//Business Class//836.39999999999998,Yes,1,Egg Free,2024-03-21,PA004,Business Class,836.4,Perth,London
2024-10-09//PA011//Perth-Tokyo//Economy//3065,Yes,3,Dairy Free,2024-10-09,PA011,Economy,3065.0,Perth,Tokyo
2024-05-31//PA007//New York-Perth//Premium Economy//725,Yes,3,Dairy Free,2024-05-31,PA007,Premium Economy,725.0,New York,Perth
2024-05-19//PA005//London-Tokyo//Business Class//424.80000000000001,Yes,2,Nut Free,2024-05-19,PA005,Business Class,424.8,London,Tokyo
2024-01-25//PA012//Tokyo-Perth//Business Class//358.80000000000001,Yes,0,,2024-01-25,PA012,Business Class,358.8,Tokyo,Perth
2024-01-02//PA003//London-Perth//Premium Economy//1200,Yes,3,Dairy Free,2024-01-02,PA003,Premium Economy,1200.0,London,Perth
2024-05-15//PA008//Perth-New York//Business Class//427.19999999999999,Yes,0,Vegan,2024-05-15,PA008,Business Class,427.2,Perth,New York
2024-04-24//PA010//Tokyo-New York//Economy//2130,Yes,0,Dairy Free,2024-04-24,PA010,Economy,2130.0,Tokyo,New York
2024-04-28//PA002//New York-London//Business Class//241.19999999999999,Yes,2,Vegetarian,2024-04-28,PA002,Business Class,241.2,New York,London
2024-12-13//PA003//London-Perth//Premium Economy//505,Yes,2,,2024-12-13,PA003,Premium Economy,505.0,London,Perth
2024-10-20//PA011//Perth-Tokyo//First Class//385,Yes,2,Dairy Free,2024-10-20,PA011,First Class,385.0,Perth,Tokyo
2024-08-27//PA002//New York-London//First Class//573,Yes,1,Vegan,2024-08-27,PA002,First Class,573.0,New York,London
2024-11-12//PA003//London-Perth//Economy//2190,Yes,3,Vegetarian,2024-11-12,PA003,Economy,2190.0,London,Perth
2024-07-23//PA009//New York-Tokyo//Business Class//339.59999999999997,Yes,1,Vegetarian,2024-07-23,PA009,Business Class,339.6,New York,Tokyo
2024-02-22//PA005//London-Tokyo//Business Class//468,Yes,1,,2024-02-22,PA005,Business Class,468.0,London,Tokyo
2024-09-18//PA001//London-New York//Economy//1020,Yes,0,Vegetarian,2024-09-18,PA001,Economy,1020.0,London,New York
2024-12-06//PA011//Perth-Tokyo//Business Class//601.19999999999993,Yes,3,Dairy Free,2024-12-06,PA011,Business Class,601.2,Perth,Tokyo
2024-10-10//PA001//London-New York//Economy//3035,Yes,3,Vegetarian,2024-10-10,PA001,Economy,3035.0,London,New York
2024-12-14//PA007//New York-Perth//Premium Economy//1305,Yes,2,Nut Free,2024-12-14,PA007,Premium Economy,1305.0,New York,Perth
2024-11-07//PA006//Tokyo-London//First Class//252,Yes,0,,2024-11-07,PA006,First Class,252.0,Tokyo,London
2024-03-21//PA003//London-Perth//Business Class//272.39999999999998,Yes,2,Nut Free,2024-03-21,PA003,Business Class,272.4,London,Perth
2024-02-26//PA009//New York-Tokyo//Premium Economy//1085,Yes,2,Vegan,2024-02-26,PA009,Premium Economy,1085.0,New York,Tokyo
2024-07-31//PA012//Tokyo-Perth//Premium Economy//817.5,Yes,1,Egg Free,2024-07-31,PA012,Premium Economy,817.5,Tokyo,Perth
2024-01-20//PA008//Perth-New York//Economy//2330,Yes,1,Egg Free,2024-01-20,PA008,Economy,2330.0,Perth,New York
2024-08-26//PA007//New York-Perth//Economy//2235,Yes,1,,2024-08-26,PA007,Economy,2235.0,New York,Perth
2024-04-05//PA005//London-Tokyo//Economy//3005,Yes,0,,2024-04-05,PA005,Economy,3005.0,London,Tokyo
2024-01-05//PA010//Tokyo-New York//First Class//681,Yes,0,,2024-01-05,PA010,First Class,681.0,Tokyo,New York
2024-03-02//PA006//Tokyo-London//Business Class//558,Yes,2,Vegetarian,2024-03-02,PA006,Business Class,558.0,Tokyo,London
2024-03-06//PA009//New York-Tokyo//Economy//1840,Yes,3,Vegetarian,2024-03-06,PA009,Economy,1840.0,New York,Tokyo
2024-04-16//PA012//Tokyo-Perth//First Class//506,Yes,2,Nut Free,2024-04-16,PA012,First Class,506.0,Tokyo,Perth
2024-05-29//PA007//New York-Perth//Business Class//240,Yes,1,Vegetarian,2024-05-29,PA007,Business Class,240.0,New York,Perth
2024-01-04//PA002//New York-London//Premium Economy//1635,Yes,2,Egg Free,2024-01-04,PA002,Premium Economy,1635.0,New York,London
2024-07-07//PA011//Perth-Tokyo//Economy//2590,Yes,1,Vegetarian,2024-07-07,PA011,Economy,2590.0,Perth,Tokyo
2024-10-06//PA003//London-Perth//Business Class//783.60000000000002,Yes,2,Vegan,2024-10-06,PA003,Business Class,783.6,London,Perth
2024-05-03//PA001//London-New York//Economy//3160,Yes,2,,2024-05-03,PA001,Economy,3160.0,London,New York
2024-08-09//PA011//Perth-Tokyo//First Class//512,Yes,0,Egg Free,2024-08-09,PA011,First Class,512.0,Perth,Tokyo
2024-10-27//PA010//Tokyo-New York//Economy//1715,Yes,0,Nut Free,2024-10-27,PA010,Economy,1715.0,Tokyo,New York
2024-06-10//PA009//New York-Tokyo//First Class//517,Yes,2,Vegan,2024-06-10,PA009,First Class,517.0,New York,Tokyo
2024-12-20//PA006//Tokyo-London//Economy//2725,Yes,0,Vegetarian,2024-12-20,PA006,Economy,2725.0,Tokyo,London
2024-11-27//PA012//Tokyo-Perth//Economy//2500,Yes,1,Dairy Free,2024-11-27,PA012,Economy,2500.0,Tokyo,Perth
2024-03-23//PA009//New York-Tokyo//Economy//2300,Yes,1,Dairy Free,2024-03-23,PA009,Economy,2300.0,New York,Tokyo
2024-07-06//PA003//London-Perth//First Class//305,Yes,1,Egg Free,2024-07-06,PA003,First Class,305.0,London,Perth
2024-12-05//PA002//New York-London//Business Class//499.19999999999999,Yes,0,Vegetarian,2024-12-05,PA002,Business Class,499.2,New York,London
2024-07-09//PA012//Tokyo-Perth//Economy//1420,Yes,0,Nut Free,2024-07-09,PA012,Economy,1420.0,Tokyo,Perth
2024-03-31//PA006//Tokyo-London//First Class//300,Yes,0,,2024-03-31,PA006,First Class,300.0,Tokyo,London
2024-05-06//PA004//Perth-London//First Class//591,Yes,3,,2024-05-06,PA004,First Class,591.0,Perth,London
2024-04-10//PA001//London-New York//Premium Economy//1042.5,Yes,0,,2024-04-10,PA001,Premium Economy,1042.5,London,New York
2024-05-16//PA003//London-Perth//Economy//2925,Yes,1,Vegan,2024-05-16,PA003,Economy,2925.0,London,Perth
2024-12-01//PA008//Perth-New York//First Class//340,Yes,1,Egg Free,2024-12-01,PA008,First Class,340.0,Perth,New York
2024-06-26//PA003//London-Perth//Business Class//463.19999999999999,Yes,1,Vegan,2024-06-26,PA003,Business Class,463.2,London,Perth
2024-12-21//PA001//London-New York//Business Class//325.19999999999999,Yes,3,Vegetarian,2024-12-21,PA001,Business Class,325.2,London,New York
2024-07-10//PA007//New York-Perth//Economy//1600,Yes,1,Vegetarian,2024-07-10,PA007,Economy,1600.0,New York,Perth
2024-12-16//PA006//Tokyo-London//Premium Economy//1582.5,Yes,0,Nut Free,2024-12-16,PA006,Premium Economy,1582.5,Tokyo,London
2024-05-23//PA003//London-Perth//Economy//2045,Yes,2,,2024-05-23,PA003,Economy,2045.0,London,Perth
2024-08-14//PA004//Perth-London//Premium Economy//742.5,Yes,2,Vegan,2024-08-14,PA004,Premium Economy,742.5,Perth,London
2024-09-19//PA011//Perth-Tokyo//Business Class//332.39999999999998,Yes,2,Dairy Free,2024-09-19,PA011,Business Class,332.4,Perth,Tokyo
2024-07-06//PA004//Perth-London//Premium Economy//595,Yes,2,Vegan,2024-07-06,PA004,Premium Economy,595.0,Perth,London
2024-01-23//PA001//London-New York//Premium Economy//1290,Yes,3,Vegan,2024-01-23,PA001,Premium Economy,1290.0,London,New York
2024-07-07//PA008//Perth-New York//First Class//348,Yes,2,Vegetarian,2024-07-07,PA008,First Class,348.0,Perth,New York
2024-11-06//PA001//London-New York//Economy//1245,Yes,2,,2024-11-06,PA001,Economy,1245.0,London,New York
2024-08-19//PA005//London-Tokyo//Business Class//421.19999999999999,Yes,0,Nut Free,2024-08-19,PA005,Business Class,421.2,London,Tokyo
2024-05-06//PA002//New York-London//Premium Economy//912.5,Yes,0,Dairy Free,2024-05-06,PA002,Premium Economy,912.5,New York,London
2024-12-17//PA011//Perth-Tokyo//First Class//511,Yes,1,Dairy Free,2024-12-17,PA011,First Class,511.0,Perth,Tokyo
2024-07-29//PA011//Perth-Tokyo//Business Class//337.19999999999999,Yes,1,Vegan,2024-07-29,PA011,Business Class,337.2,Perth,Tokyo
2024-01-08//PA008//Perth-New York//Economy//3065,Yes,1,Vegan,2024-01-08,PA008,Economy,3065.0,Perth,New York
2024-12-29//PA003//London-Perth//Premium Economy//1107.5,Yes,1,,2024-12-29,PA003,Premium Economy,1107.5,London,Perth
2024-08-29//PA006//Tokyo-London//First Class//476,Yes,2,Vegan,2024-08-29,PA006,First Class,476.0,Tokyo,London
2024-04-04//PA012//Tokyo-Perth//Business Class//818.39999999999998,Yes,1,Egg Free,2024-04-04,PA012,Business Class,818.4,Tokyo,Perth
2024-08-09//PA010//Tokyo-New York//First Class//665,Yes,3,Dairy Free,2024-08-09,PA010,First Class,665.0,Tokyo,New York
2024-04-03//PA004//Perth-London//First Class//427,Yes,1,,2024-04-03,PA004,First Class,427.0,Perth,London
2024-10-06//PA009//New York-Tokyo//Economy//3165,Yes,1,,2024-10-06,PA009,Economy,3165.0,New York,Tokyo
2024-07-14//PA006//Tokyo-London//First Class//630,Yes,1,Egg Free,2024-07-14,PA006,First Class,630.0,Tokyo,London
2024-01-05//PA012//Tokyo-Perth//First Class//436,Yes,3,Nut Free,2024-01-05,PA012,First Class,436.0,Tokyo,Perth
2024-03-22//PA007//New York-Perth//Economy//2240,Yes,0,Dairy Free,2024-03-22,PA007,Economy,2240.0,New York,Perth
2024-05-25//PA010//Tokyo-New York//Business Class//674.39999999999998,Yes,3,,2024-05-25,PA010,Business Class,674.4,Tokyo,New York
2024-03-20//PA007//New York-Perth//Economy//1170,Yes,0,,2024-03-20,PA007,Economy,1170.0,New York,Perth
2024-10-22//PA001//London-New York//Premium Economy//952.5,Yes,1,,2024-10-22,PA001,Premium Economy,952.5,London,New York
2024-12-24//PA005//London-Tokyo//First Class//244,Yes,0,Vegetarian,2024-12-24,PA005,First Class,244.0,London,Tokyo
2024-02-01//PA005//London-Tokyo//First Class//586,Yes,0,Dairy Free,2024-02-01,PA005,First Class,586.0,London,Tokyo
2024-02-20//PA002//New York-London//Premium Economy//1737.5,Yes,3,Vegan,2024-02-20,PA002,Premium Economy,1737.5,New York,London
2024-07-15//PA006//Tokyo-London//Premium Economy//1342.5,Yes,2,Dairy Free,2024-07-15,PA006,Premium Economy,1342.5,Tokyo,London
2024-01-07//PA003//London-Perth//Business Class//462,Yes,2,,2024-01-07,PA003,Business Class,462.0,London,Perth
2024-07-11//PA002//New York-London//First Class//494,Yes,3,Vegan,2024-07-11,PA002,First Class,494.0,New York,London
