Date,Flight Number,From,To,Class,Price,Flow Card?,Bags Checked,Meal Type
28/10/2024,PA012,Tokyo,Perth,Economy,1235.0,No,1,Nut Free
06/11/2024,PA001,London,New York,Premium Economy,1270.0,No,1,
13/08/2024,PA004,Perth,London,Premium Economy,735.0,No,2,Nut Free
22/05/2024,PA007,New York,Perth,Economy,2645.0,No,3,Dairy Free
18/05/2024,PA008,Perth,New York,Business Class,271.2,No,3,Egg Free
01/04/2024,PA005,London,Tokyo,Premium Economy,1597.5,No,3,Egg Free
20/07/2024,PA006,Tokyo,London,First Class,215.0,No,3,
15/02/2024,PA012,Tokyo,Perth,First Class,208.0,No,0,Vegan
08/02/2024,PA009,New York,Tokyo,Premium Economy,610.0,No,3,Nut Free
05/03/2024,PA001,London,New York,Economy,2685.0,No,3,Dairy Free
17/06/2024,PA004,Perth,London,Premium Economy,1487.5,No,0,Dairy Free
08/09/2024,PA005,London,Tokyo,Business Class,422.4,No,0,Dairy Free
01/10/2024,PA005,London,Tokyo,Economy,1225.0,No,0,Vegetarian
10/09/2024,PA006,Tokyo,London,First Class,670.0,No,1,Dairy Free
25/05/2024,PA001,London,New York,Economy,1745.0,No,1,Dairy Free
27/09/2024,PA008,Perth,New York,Economy,1770.0,No,0,Nut Free
08/10/2024,PA008,Perth,New York,Economy,3090.0,No,0,Dairy Free
15/11/2024,PA003,London,Perth,Premium Economy,735.0,No,0,Vegan
29/01/2024,PA004,Perth,London,Business Class,435.6,No,2,Egg Free
26/01/2024,PA001,London,New York,First Class,381.0,No,2,Vegan
20/04/2024,PA003,London,Perth,Business Class,688.8,No,2,Egg Free
12/08/2024,PA005,London,Tokyo,Economy,1050.0,No,1,
04/07/2024,PA003,London,Perth,Premium Economy,1307.5,No,0,Vegetarian
01/04/2024,PA001,London,New York,Business Class,512.4,No,1,Egg Free
21/04/2024,PA004,Perth,London,Business Class,679.2,No,3,Nut Free
30/01/2024,PA004,Perth,London,Business Class,246.0,No,0,Vegetarian
11/02/2024,PA005,London,Tokyo,Premium Economy,1567.5,No,1,Dairy Free
17/11/2024,PA009,New York,Tokyo,First Class,340.0,No,1,Nut Free
08/08/2024,PA012,Tokyo,Perth,First Class,426.0,No,1,Vegetarian
20/12/2024,PA002,New York,London,Business Class,574.8,No,3,Dairy Free
02/07/2024,PA006,Tokyo,London,First Class,522.0,No,3,Dairy Free
25/10/2024,PA010,Tokyo,New York,Economy,1170.0,No,3,Egg Free
18/11/2024,PA005,London,Tokyo,Economy,3305.0,No,0,Vegetarian
02/06/2024,PA011,Perth,Tokyo,Premium Economy,1177.5,No,3,Dairy Free
09/08/2024,PA009,New York,Tokyo,First Class,612.0,No,3,Nut Free
24/08/2024,PA010,Tokyo,New York,Economy,2145.0,No,2,
11/11/2024,PA008,Perth,New York,Economy,2980.0,No,1,Vegetarian
02/11/2024,PA011,Perth,Tokyo,First Class,441.0,No,1,Vegan
06/04/2024,PA011,Perth,Tokyo,Premium Economy,960.0,No,2,Dairy Free
03/01/2024,PA007,New York,Perth,Economy,3300.0,No,1,
02/01/2024,PA009,New York,Tokyo,Business Class,793.2,No,0,Vegetarian
17/09/2024,PA006,Tokyo,London,Business Class,543.6,No,0,
11/03/2024,PA009,New York,Tokyo,Business Class,446.4,No,2,
11/10/2024,PA002,New York,London,Business Class,602.4,No,2,Egg Free
31/10/2024,PA011,Perth,Tokyo,Economy,2915.0,No,2,Nut Free
25/08/2024,PA001,London,New York,First Class,673.0,No,2,Vegan
15/08/2024,PA003,London,Perth,Premium Economy,555.0,No,0,Dairy Free
18/10/2024,PA009,New York,Tokyo,Premium Economy,1372.5,No,1,
20/03/2024,PA008,Perth,New York,First Class,357.0,No,2,Nut Free
12/01/2024,PA008,Perth,New York,Business Class,601.2,No,3,Vegetarian
13/06/2024,PA003,London,Perth,Premium Economy,1382.5,No,1,Vegan
01/04/2024,PA007,New York,Perth,First Class,359.0,No,2,Nut Free
22/03/2024,PA010,Tokyo,New York,Premium Economy,1135.0,No,0,Dairy Free
18/01/2024,PA010,Tokyo,New York,First Class,415.0,No,2,Vegetarian
12/12/2024,PA006,Tokyo,London,Economy,1640.0,No,0,Egg Free
07/12/2024,PA009,New York,Tokyo,First Class,662.0,No,1,Egg Free
03/11/2024,PA012,Tokyo,Perth,First Class,242.0,No,2,
22/09/2024,PA009,New York,Tokyo,Economy,1690.0,No,1,Dairy Free
07/06/2024,PA007,New York,Perth,Premium Economy,570.0,No,3,Egg Free
24/06/2024,PA012,Tokyo,Perth,Premium Economy,1597.5,No,3,Vegetarian
06/04/2024,PA005,London,Tokyo,Economy,2465.0,No,2,Vegan
11/09/2024,PA007,New York,Perth,Business Class,602.4,No,2,Vegetarian
30/08/2024,PA002,New York,London,Economy,3095.0,No,0,Egg Free
05/11/2024,PA002,New York,London,First Class,652.0,No,1,Vegan
07/08/2024,PA010,Tokyo,New York,Business Class,392.4,No,2,Nut Free
03/06/2024,PA007,New York,Perth,Premium Economy,1390.0,No,1,Vegan
21/11/2024,PA003,London,Perth,First Class,599.0,No,2,Vegetarian
16/02/2024,PA009,New York,Tokyo,Premium Economy,675.0,No,1,
30/05/2024,PA007,New York,Perth,Business Class,417.6,No,2,
27/12/2024,PA012,Tokyo,Perth,First Class,606.0,No,2,Vegan
31/10/2024,PA008,Perth,New York,Economy,1785.0,No,0,Egg Free
14/02/2024,PA007,New York,Perth,Business Class,408.0,No,2,Vegetarian
24/08/2024,PA003,London,Perth,First Class,294.0,No,3,Vegan
22/11/2024,PA012,Tokyo,Perth,Business Class,598.8,No,2,Dairy Free
27/03/2024,PA003,London,Perth,Business Class,756.0,No,3,Egg Free
30/04/2024,PA012,Tokyo,Perth,Economy,1600.0,No,1,Nut Free
06/09/2024,PA006,Tokyo,London,First Class,489.0,No,0,Vegetarian
01/02/2024,PA005,London,Tokyo,Premium Economy,1480.0,No,2,Vegetarian
25/11/2024,PA012,Tokyo,Perth,Premium Economy,1432.5,No,3,Egg Free
12/05/2024,PA012,Tokyo,Perth,Business Class,744.0,No,2,Dairy Free
16/07/2024,PA010,Tokyo,New York,Economy,1460.0,No,1,Vegetarian
19/08/2024,PA006,Tokyo,London,Economy,2000.0,No,3,Vegetarian
01/08/2024,PA011,Perth,Tokyo,Business Class,452.4,No,3,
28/12/2024,PA001,London,New York,Economy,1105.0,No,2,Vegan
02/11/2024,PA006,Tokyo,London,Economy,2225.0,No,2,Egg Free
25/09/2024,PA007,New York,Perth,Premium Economy,522.5,No,0,Nut Free
01/07/2024,PA012,Tokyo,Perth,Business Class,655.2,No,3,Nut Free
20/12/2024,PA004,Perth,London,Business Class,760.8,No,0,Nut Free
24/07/2024,PA005,London,Tokyo,Business Class,246.0,No,1,Nut Free
25/12/2024,PA002,New York,London,Economy,2905.0,No,3,
18/08/2024,PA005,London,Tokyo,Economy,1975.0,No,1,Vegan
12/01/2024,PA011,Perth,Tokyo,Business Class,780.0,No,1,Dairy Free
03/12/2024,PA011,Perth,Tokyo,Premium Economy,945.0,No,1,Egg Free
30/12/2024,PA011,Perth,Tokyo,Premium Economy,745.0,No,2,Dairy Free
06/05/2024,PA004,Perth,London,First Class,318.0,No,1,Vegan
09/10/2024,PA007,New York,Perth,Premium Economy,875.0,No,1,Vegetarian
17/02/2024,PA008,Perth,New York,Economy,1340.0,No,3,Vegetarian
27/10/2024,PA005,London,Tokyo,First Class,683.0,No,0,Egg Free
18/06/2024,PA001,London,New York,Business Class,280.8,No,0,
05/12/2024,PA009,New York,Tokyo,Business Class,799.2,No,2,
31/12/2024,PA010,Tokyo,New York,Premium Economy,690.0,No,3,Vegetarian
08/02/2024,PA006,Tokyo,London,Business Class,534.0,No,3,Vegetarian
21/02/2024,PA004,Perth,London,First Class,317.0,No,0,
01/05/2024,PA011,Perth,Tokyo,Economy,2780.0,No,0,Dairy Free
10/10/2024,PA009,New York,Tokyo,Business Class,718.8,No,0,Vegan
05/07/2024,PA007,New York,Perth,Business Class,838.8,No,1,Nut Free
10/02/2024,PA005,London,Tokyo,Business Class,574.8,No,1,Vegan
09/06/2024,PA001,London,New York,Premium Economy,1045.0,No,0,
04/02/2024,PA005,London,Tokyo,Business Class,328.8,No,3,Dairy Free
12/07/2024,PA004,Perth,London,Economy,2430.0,No,3,Egg Free
08/02/2024,PA008,Perth,New York,Business Class,506.4,No,2,Nut Free
21/10/2024,PA008,Perth,New York,Premium Economy,1677.5,No,1,Vegan
20/04/2024,PA003,London,Perth,Economy,2030.0,No,2,Vegetarian
26/06/2024,PA004,Perth,London,Business Class,632.4,No,3,
31/12/2024,PA001,London,New York,First Class,598.0,No,1,Nut Free
24/10/2024,PA002,New York,London,First Class,691.0,No,3,Dairy Free
25/06/2024,PA009,New York,Tokyo,First Class,224.0,No,1,Vegan
27/10/2024,PA012,Tokyo,Perth,Premium Economy,1357.5,No,0,Vegan
23/04/2024,PA004,Perth,London,First Class,276.0,No,3,Dairy Free
21/10/2024,PA010,Tokyo,New York,Premium Economy,1125.0,No,1,
20/03/2024,PA005,London,Tokyo,Premium Economy,1577.5,No,3,
10/05/2024,PA010,Tokyo,New York,Economy,1820.0,No,2,Dairy Free
19/03/2024,PA012,Tokyo,Perth,Economy,2145.0,No,1,Vegan
30/10/2024,PA011,Perth,Tokyo,Economy,2500.0,No,1,Dairy Free
05/07/2024,PA004,Perth,London,Premium Economy,1242.5,No,0,Vegan
20/04/2024,PA009,New York,Tokyo,Economy,2535.0,No,2,Nut Free
28/11/2024,PA009,New York,Tokyo,Business Class,240.0,No,3,Dairy Free
16/08/2024,PA011,Perth,Tokyo,Economy,1810.0,No,3,Vegetarian
29/12/2024,PA005,London,Tokyo,Business Class,745.2,No,0,Vegetarian
01/06/2024,PA012,Tokyo,Perth,First Class,368.0,No,0,Dairy Free
26/08/2024,PA009,New York,Tokyo,Premium Economy,1452.5,No,3,
25/05/2024,PA006,Tokyo,London,First Class,336.0,No,2,Dairy Free
11/11/2024,PA001,London,New York,Premium Economy,1680.0,No,3,Vegan
04/04/2024,PA010,Tokyo,New York,First Class,266.0,No,1,Dairy Free
24/10/2024,PA003,London,Perth,Economy,3235.0,No,2,Nut Free
27/06/2024,PA011,Perth,Tokyo,First Class,358.0,No,0,Vegan
08/08/2024,PA011,Perth,Tokyo,Business Class,258.0,No,3,Egg Free
10/08/2024,PA011,Perth,Tokyo,Premium Economy,1512.5,No,0,Nut Free
13/05/2024,PA009,New York,Tokyo,Premium Economy,1160.0,No,3,
05/04/2024,PA012,Tokyo,Perth,First Class,336.0,No,1,Nut Free
22/06/2024,PA007,New York,Perth,Premium Economy,1127.5,No,1,Egg Free
13/09/2024,PA001,London,New York,Economy,2270.0,No,3,Vegan
26/02/2024,PA002,New York,London,Premium Economy,1382.5,No,3,Vegan
03/04/2024,PA008,Perth,New York,First Class,548.0,No,3,Vegan
06/06/2024,PA004,Perth,London,Economy,3120.0,No,3,Egg Free
27/12/2024,PA001,London,New York,Economy,1390.0,No,3,Vegetarian
18/04/2024,PA005,London,Tokyo,Premium Economy,927.5,No,3,Nut Free
16/03/2024,PA009,New York,Tokyo,Economy,1235.0,No,0,Vegan
07/06/2024,PA008,Perth,New York,Business Class,735.6,No,1,Dairy Free
26/08/2024,PA007,New York,Perth,Economy,3360.0,No,3,Vegetarian
13/12/2024,PA006,Tokyo,London,Economy,2715.0,No,0,Egg Free
23/09/2024,PA001,London,New York,Economy,2400.0,No,1,
09/07/2024,PA009,New York,Tokyo,Economy,1815.0,No,3,Nut Free
15/06/2024,PA003,London,Perth,Economy,2600.0,No,0,Vegan
13/10/2024,PA012,Tokyo,Perth,Premium Economy,1092.5,No,2,Nut Free
11/12/2024,PA010,Tokyo,New York,Premium Economy,1572.5,No,0,
31/12/2024,PA010,Tokyo,New York,Economy,1355.0,No,3,Nut Free
10/06/2024,PA002,New York,London,Business Class,642.0,No,0,Vegan
11/11/2024,PA006,Tokyo,London,First Class,565.0,No,2,Dairy Free
14/09/2024,PA008,Perth,New York,Premium Economy,1070.0,No,0,Vegetarian
05/07/2024,PA011,Perth,Tokyo,Economy,2490.0,No,2,Nut Free
03/12/2024,PA011,Perth,Tokyo,Economy,2195.0,No,3,Vegetarian
25/09/2024,PA001,London,New York,Premium Economy,1375.0,No,2,
20/07/2024,PA009,New York,Tokyo,First Class,470.0,No,3,
25/10/2024,PA001,London,New York,First Class,633.0,No,1,Vegetarian
08/04/2024,PA002,New York,London,Business Class,752.4,No,0,Dairy Free
16/03/2024,PA012,Tokyo,Perth,First Class,618.0,No,2,Vegan
05/08/2024,PA012,Tokyo,Perth,Economy,3475.0,No,1,
29/08/2024,PA006,Tokyo,London,Premium Economy,670.0,No,2,Egg Free
13/06/2024,PA007,New York,Perth,Business Class,402.0,No,1,Vegetarian
06/11/2024,PA011,Perth,Tokyo,Business Class,271.2,No,0,Nut Free
04/05/2024,PA005,London,Tokyo,Economy,1205.0,No,0,Nut Free
28/02/2024,PA007,New York,Perth,Business Class,645.6,No,0,
27/07/2024,PA012,Tokyo,Perth,Business Class,466.8,No,3,Nut Free
27/11/2024,PA011,Perth,Tokyo,Economy,1210.0,No,2,Vegetarian
20/08/2024,PA006,Tokyo,London,Business Class,504.0,No,0,Egg Free
30/11/2024,PA002,New York,London,Premium Economy,1327.5,No,0,Vegetarian
14/04/2024,PA007,New York,Perth,Economy,2650.0,No,1,Vegan
10/04/2024,PA003,London,Perth,First Class,376.0,No,3,Dairy Free
29/03/2024,PA007,New York,Perth,Business Class,730.8,No,0,Vegetarian
12/06/2024,PA008,Perth,New York,Business Class,820.8,No,2,
26/01/2024,PA011,Perth,Tokyo,Premium Economy,1627.5,No,3,Egg Free
13/06/2024,PA005,London,Tokyo,Economy,3045.0,No,1,Vegetarian
02/09/2024,PA006,Tokyo,London,Economy,1265.0,No,0,Nut Free
12/01/2024,PA009,New York,Tokyo,Premium Economy,1230.0,No,0,Vegan
06/02/2024,PA003,London,Perth,Business Class,742.8,No,3,
20/03/2024,PA009,New York,Tokyo,Premium Economy,722.5,No,0,Vegan
23/04/2024,PA003,London,Perth,Economy,1915.0,No,1,Nut Free
03/02/2024,PA004,Perth,London,Economy,2150.0,No,0,Nut Free
11/01/2024,PA005,London,Tokyo,Premium Economy,542.5,No,1,
03/12/2024,PA012,Tokyo,Perth,First Class,681.0,No,1,Egg Free
21/10/2024,PA008,Perth,New York,Business Class,793.2,No,0,Vegetarian
11/02/2024,PA012,Tokyo,Perth,First Class,453.0,No,3,
01/09/2024,PA006,Tokyo,London,Economy,2645.0,No,1,Nut Free
26/01/2024,PA001,London,New York,Economy,1185.0,No,0,Dairy Free
29/10/2024,PA002,New York,London,Premium Economy,1627.5,No,0,Nut Free
27/06/2024,PA012,Tokyo,Perth,Premium Economy,1260.0,No,3,Egg Free
10/04/2024,PA007,New York,Perth,Economy,1935.0,No,2,Egg Free
16/04/2024,PA007,New York,Perth,First Class,425.0,No,0,Egg Free
02/08/2024,PA003,London,Perth,Business Class,273.6,No,0,Dairy Free
08/09/2024,PA012,Tokyo,Perth,First Class,389.0,No,0,Egg Free
15/09/2024,PA001,London,New York,Business Class,392.4,No,1,Dairy Free
04/01/2024,PA010,Tokyo,New York,Economy,2495.0,No,0,Vegetarian
24/04/2024,PA008,Perth,New York,Business Class,532.8,No,3,Egg Free
27/08/2024,PA001,London,New York,First Class,421.0,No,2,Nut Free
23/04/2024,PA001,London,New York,Business Class,246.0,No,3,
07/08/2024,PA006,Tokyo,London,Premium Economy,607.5,No,3,Egg Free
09/12/2024,PA009,New York,Tokyo,Economy,1995.0,No,3,Nut Free
22/05/2024,PA009,New York,Tokyo,First Class,389.0,No,3,
19/04/2024,PA010,Tokyo,New York,First Class,601.0,No,2,Vegetarian
05/12/2024,PA002,New York,London,First Class,665.0,No,0,Vegan
28/07/2024,PA006,Tokyo,London,Premium Economy,1180.0,No,3,Vegetarian
11/07/2024,PA009,New York,Tokyo,Premium Economy,1402.5,No,1,Vegan
25/02/2024,PA002,New York,London,Economy,1690.0,No,1,Egg Free
16/12/2024,PA010,Tokyo,New York,Business Class,331.2,No,2,
14/04/2024,PA004,Perth,London,Economy,1315.0,No,1,Vegan
30/11/2024,PA002,New York,London,Business Class,634.8,No,1,Vegan
14/05/2024,PA012,Tokyo,Perth,Business Class,811.2,No,1,
06/06/2024,PA011,Perth,Tokyo,Economy,1000.0,No,1,Vegan
28/02/2024,PA010,Tokyo,New York,Economy,1105.0,No,0,Nut Free
09/03/2024,PA004,Perth,London,Economy,2160.0,No,3,Vegan
26/01/2024,PA009,New York,Tokyo,Economy,3150.0,No,0,Dairy Free
17/07/2024,PA001,London,New York,First Class,210.0,No,1,Vegetarian
19/08/2024,PA007,New York,Perth,Premium Economy,862.5,No,1,Vegan
02/01/2024,PA011,Perth,Tokyo,First Class,495.0,No,0,Dairy Free
24/11/2024,PA010,Tokyo,New York,Premium Economy,1155.0,No,2,
22/02/2024,PA011,Perth,Tokyo,Business Class,534.0,No,2,Nut Free
25/12/2024,PA012,Tokyo,Perth,First Class,506.0,No,3,Nut Free
21/09/2024,PA008,Perth,New York,Business Class,445.2,No,2,
27/05/2024,PA004,Perth,London,Economy,3020.0,No,2,Vegan
30/10/2024,PA008,Perth,New York,Business Class,423.6,No,3,Dairy Free
03/05/2024,PA012,Tokyo,Perth,Economy,1395.0,No,0,Vegan
29/03/2024,PA001,London,New York,First Class,208.0,No,2,Nut Free
25/10/2024,PA010,Tokyo,New York,Business Class,382.8,No,0,Vegan
07/08/2024,PA004,Perth,London,Premium Economy,710.0,No,1,Dairy Free
13/07/2024,PA005,London,Tokyo,Premium Economy,927.5,No,3,Nut Free
20/05/2024,PA004,Perth,London,Business Class,807.6,No,0,Nut Free
19/09/2024,PA012,Tokyo,Perth,Premium Economy,717.5,No,0,Egg Free
10/11/2024,PA011,Perth,Tokyo,First Class,266.0,No,1,Vegetarian
17/12/2024,PA011,Perth,Tokyo,Business Class,272.4,No,3,Egg Free
10/11/2024,PA007,New York,Perth,Business Class,646.8,No,2,Egg Free
21/04/2024,PA003,London,Perth,First Class,594.0,No,3,Nut Free
18/01/2024,PA005,London,Tokyo,First Class,649.0,No,0,
30/04/2024,PA011,Perth,Tokyo,First Class,693.0,No,2,Vegan
06/12/2024,PA003,London,Perth,First Class,436.0,No,0,
11/02/2024,PA005,London,Tokyo,First Class,427.0,No,0,Nut Free
19/05/2024,PA011,Perth,Tokyo,First Class,660.0,No,2,Dairy Free
23/01/2024,PA010,Tokyo,New York,Business Class,554.4,No,0,Vegan
07/10/2024,PA006,Tokyo,London,Premium Economy,1572.5,No,1,Nut Free
02/07/2024,PA007,New York,Perth,Business Class,338.4,No,0,Egg Free
13/03/2024,PA008,Perth,New York,Premium Economy,662.5,No,2,
22/07/2024,PA010,Tokyo,New York,Premium Economy,1540.0,No,0,Dairy Free
07/05/2024,PA012,Tokyo,Perth,Business Class,609.6,No,3,Egg Free
10/06/2024,PA011,Perth,Tokyo,Premium Economy,1260.0,No,0,Vegan
25/01/2024,PA001,London,New York,First Class,224.0,No,0,Vegan
15/06/2024,PA009,New York,Tokyo,First Class,470.0,No,0,Vegetarian
20/07/2024,PA010,Tokyo,New York,Economy,2535.0,No,0,Nut Free
06/11/2024,PA001,London,New York,Premium Economy,965.0,No,1,
28/06/2024,PA006,Tokyo,London,Economy,1885.0,No,1,Nut Free
10/05/2024,PA003,London,Perth,Economy,1350.0,No,2,Egg Free
16/01/2024,PA009,New York,Tokyo,Business Class,670.8,No,1,Dairy Free
20/01/2024,PA004,Perth,London,First Class,470.0,No,0,
30/10/2024,PA005,London,Tokyo,Premium Economy,1187.5,No,2,Nut Free
17/12/2024,PA002,New York,London,Economy,3085.0,No,0,Dairy Free
19/04/2024,PA009,New York,Tokyo,Economy,2475.0,No,0,Nut Free
02/07/2024,PA001,London,New York,First Class,554.0,No,0,
23/09/2024,PA004,Perth,London,Economy,3230.0,No,2,Egg Free
30/08/2024,PA008,Perth,New York,Business Class,482.4,No,0,Vegetarian
08/06/2024,PA007,New York,Perth,Business Class,490.8,No,2,
11/04/2024,PA007,New York,Perth,First Class,661.0,No,1,Vegetarian
13/02/2024,PA003,London,Perth,First Class,572.0,No,3,
20/06/2024,PA011,Perth,Tokyo,Business Class,259.2,No,1,Vegetarian
28/08/2024,PA003,London,Perth,Economy,1475.0,No,3,Vegetarian
18/04/2024,PA011,Perth,Tokyo,Business Class,327.6,No,0,Dairy Free
31/08/2024,PA003,London,Perth,Economy,3055.0,No,3,Dairy Free
30/04/2024,PA008,Perth,New York,Economy,3265.0,No,2,
03/07/2024,PA005,London,Tokyo,Business Class,374.4,No,3,Nut Free
30/07/2024,PA005,London,Tokyo,Premium Economy,1347.5,No,1,Nut Free
06/12/2024,PA011,Perth,Tokyo,Economy,2705.0,No,1,Nut Free
29/07/2024,PA005,London,Tokyo,Business Class,262.8,No,1,
21/01/2024,PA006,Tokyo,London,First Class,647.0,No,2,Egg Free
06/04/2024,PA010,Tokyo,New York,First Class,324.0,No,1,Vegetarian
19/04/2024,PA011,Perth,Tokyo,Business Class,394.8,No,1,Egg Free
18/01/2024,PA007,New York,Perth,First Class,554.0,No,0,
24/08/2024,PA011,Perth,Tokyo,Business Class,780.0,No,3,Vegan
09/08/2024,PA011,Perth,Tokyo,First Class,420.0,No,3,Nut Free
23/12/2024,PA008,Perth,New York,Economy,1905.0,No,2,
27/10/2024,PA006,Tokyo,London,Premium Economy,1360.0,No,3,Egg Free
02/12/2024,PA001,London,New York,Economy,2530.0,No,0,Dairy Free
04/03/2024,PA006,Tokyo,London,Premium Economy,1257.5,No,1,Vegetarian
19/09/2024,PA008,Perth,New York,First Class,495.0,No,3,Vegan
20/12/2024,PA005,London,Tokyo,First Class,646.0,No,1,Nut Free
23/12/2024,PA004,Perth,London,Economy,2635.0,No,2,Nut Free
18/06/2024,PA001,London,New York,Economy,1390.0,No,0,Dairy Free
17/01/2024,PA006,Tokyo,London,Economy,2140.0,No,3,Vegetarian
19/12/2024,PA006,Tokyo,London,First Class,296.0,No,2,Egg Free
04/01/2024,PA003,London,Perth,First Class,443.0,No,2,Nut Free
05/10/2024,PA009,New York,Tokyo,Business Class,787.2,No,2,Vegetarian
23/12/2024,PA009,New York,Tokyo,First Class,630.0,No,2,Dairy Free
