Date,Flight Number,From,To,Class,Price,Flow Card?,Bags Checked,Meal Type
20/12/2024,PA006,Tokyo,London,Economy,2725.0,Yes,0,Vegetarian
27/11/2024,PA012,Tokyo,Perth,Economy,2500.0,Yes,1,Dairy Free
23/03/2024,PA009,New York,Tokyo,Economy,2300.0,Yes,1,Dairy Free
06/07/2024,PA003,London,Perth,First Class,305.0,Yes,1,Egg Free
05/12/2024,PA002,New York,London,Business Class,499.2,Yes,0,Vegetarian
09/07/2024,PA012,Tokyo,Perth,Economy,1420.0,Yes,0,Nut Free
31/03/2024,PA006,Tokyo,London,First Class,300.0,Yes,0,
06/05/2024,PA004,Perth,London,First Class,591.0,Yes,3,
10/04/2024,PA001,London,New York,Premium Economy,1042.5,Yes,0,
16/05/2024,PA003,London,Perth,Economy,2925.0,Yes,1,Vegan
01/12/2024,PA008,Perth,New York,First Class,340.0,Yes,1,Egg Free
26/06/2024,PA003,London,Perth,Business Class,463.2,Yes,1,Vegan
21/12/2024,PA001,London,New York,Business Class,325.2,Yes,3,Vegetarian
10/07/2024,PA007,New York,Perth,Economy,1600.0,Yes,1,Vegetarian
16/12/2024,PA006,Tokyo,London,Premium Economy,1582.5,Yes,0,Nut Free
23/05/2024,PA003,London,Perth,Economy,2045.0,Yes,2,
14/08/2024,PA004,Perth,London,Premium Economy,742.5,Yes,2,Vegan
19/09/2024,PA011,Perth,Tokyo,Business Class,332.4,Yes,2,Dairy Free
06/07/2024,PA004,Perth,London,Premium Economy,595.0,Yes,2,Vegan
23/01/2024,PA001,London,New York,Premium Economy,1290.0,Yes,3,Vegan
07/07/2024,PA008,Perth,New York,First Class,348.0,Yes,2,Vegetarian
06/11/2024,PA001,London,New York,Economy,1245.0,Yes,2,
19/08/2024,PA005,London,Tokyo,Business Class,421.2,Yes,0,Nut Free
06/05/2024,PA002,New York,London,Premium Economy,912.5,Yes,0,Dairy Free
17/12/2024,PA011,Perth,Tokyo,First Class,511.0,Yes,1,Dairy Free
29/07/2024,PA011,Perth,Tokyo,Business Class,337.2,Yes,1,Vegan
08/01/2024,PA008,Perth,New York,Economy,3065.0,Yes,1,Vegan
29/12/2024,PA003,London,Perth,Premium Economy,1107.5,Yes,1,
29/08/2024,PA006,Tokyo,London,First Class,476.0,Yes,2,Vegan
04/04/2024,PA012,Tokyo,Perth,Business Class,818.4,Yes,1,Egg Free
09/08/2024,PA010,Tokyo,New York,First Class,665.0,Yes,3,Dairy Free
03/04/2024,PA004,Perth,London,First Class,427.0,Yes,1,
06/10/2024,PA009,New York,Tokyo,Economy,3165.0,Yes,1,
14/07/2024,PA006,Tokyo,London,First Class,630.0,Yes,1,Egg Free
05/01/2024,PA012,Tokyo,Perth,First Class,436.0,Yes,3,Nut Free
22/03/2024,PA007,New York,Perth,Economy,2240.0,Yes,0,Dairy Free
25/05/2024,PA010,Tokyo,New York,Business Class,674.4,Yes,3,
20/03/2024,PA007,New York,Perth,Economy,1170.0,Yes,0,
22/10/2024,PA001,London,New York,Premium Economy,952.5,Yes,1,
24/12/2024,PA005,London,Tokyo,First Class,244.0,Yes,0,Vegetarian
01/02/2024,PA005,London,Tokyo,First Class,586.0,Yes,0,Dairy Free
20/02/2024,PA002,New York,London,Premium Economy,1737.5,Yes,3,Vegan
15/07/2024,PA006,Tokyo,London,Premium Economy,1342.5,Yes,2,Dairy Free
07/01/2024,PA003,London,Perth,Business Class,462.0,Yes,2,
11/07/2024,PA002,New York,London,First Class,494.0,Yes,3,Vegan
08/01/2024,PA007,New York,Perth,Economy,2300.0,Yes,1,Vegetarian
19/08/2024,PA002,New York,London,First Class,213.0,Yes,0,Vegetarian
28/06/2024,PA009,New York,Tokyo,Economy,2850.0,Yes,1,Vegetarian
23/11/2024,PA003,London,Perth,First Class,646.0,Yes,1,Vegan
11/08/2024,PA012,Tokyo,Perth,Premium Economy,1140.0,Yes,2,Egg Free
02/05/2024,PA009,New York,Tokyo,Business Class,706.8,Yes,0,Egg Free
18/07/2024,PA007,New York,Perth,Business Class,709.2,Yes,2,Nut Free
25/11/2024,PA003,London,Perth,Economy,2155.0,Yes,2,Nut Free
10/06/2024,PA001,London,New York,Premium Economy,665.0,Yes,0,
20/10/2024,PA001,London,New York,Business Class,451.2,Yes,2,Dairy Free
16/04/2024,PA009,New York,Tokyo,Business Class,282.0,Yes,2,Vegan
26/12/2024,PA006,Tokyo,London,Economy,2395.0,Yes,0,Dairy Free
26/03/2024,PA011,Perth,Tokyo,First Class,645.0,Yes,3,Egg Free
23/06/2024,PA007,New York,Perth,First Class,666.0,Yes,1,Egg Free
09/09/2024,PA012,Tokyo,Perth,Business Class,265.2,Yes,1,
15/08/2024,PA006,Tokyo,London,Economy,1515.0,Yes,0,Egg Free
09/09/2024,PA009,New York,Tokyo,Premium Economy,1557.5,Yes,1,Dairy Free
07/04/2024,PA003,London,Perth,Premium Economy,1727.5,Yes,1,
30/04/2024,PA009,New York,Tokyo,Economy,1220.0,Yes,3,Vegetarian
28/10/2024,PA010,Tokyo,New York,Business Class,796.8,Yes,2,Dairy Free
16/04/2024,PA008,Perth,New York,Economy,2235.0,Yes,1,Egg Free
27/08/2024,PA003,London,Perth,First Class,694.0,Yes,0,Dairy Free
06/02/2024,PA012,Tokyo,Perth,Premium Economy,570.0,Yes,2,Dairy Free
03/09/2024,PA009,New York,Tokyo,Premium Economy,840.0,Yes,0,Nut Free
31/12/2024,PA002,New York,London,Premium Economy,677.5,Yes,3,Nut Free
28/08/2024,PA003,London,Perth,Premium Economy,505.0,Yes,3,
23/10/2024,PA001,London,New York,Economy,1155.0,Yes,1,Egg Free
02/10/2024,PA011,Perth,Tokyo,Business Class,679.2,Yes,3,Nut Free
01/04/2024,PA008,Perth,New York,Premium Economy,1530.0,Yes,1,Vegetarian
09/05/2024,PA002,New York,London,Economy,2585.0,Yes,1,Egg Free
25/04/2024,PA006,Tokyo,London,Economy,1650.0,Yes,3,Egg Free
03/05/2024,PA011,Perth,Tokyo,Business Class,627.6,Yes,2,Egg Free
20/06/2024,PA001,London,New York,First Class,456.0,Yes,3,Vegetarian
09/10/2024,PA012,Tokyo,Perth,Premium Economy,980.0,Yes,1,Egg Free
06/05/2024,PA006,Tokyo,London,Premium Economy,832.5,Yes,3,Egg Free
05/08/2024,PA007,New York,Perth,Economy,1765.0,Yes,1,Vegetarian
19/10/2024,PA002,New York,London,Premium Economy,650.0,Yes,1,Vegan
03/10/2024,PA007,New York,Perth,First Class,694.0,Yes,3,Nut Free
24/08/2024,PA006,Tokyo,London,Premium Economy,1447.5,Yes,3,
19/11/2024,PA005,London,Tokyo,First Class,238.0,Yes,0,Vegetarian
19/06/2024,PA006,Tokyo,London,Economy,1705.0,Yes,2,Dairy Free
11/09/2024,PA004,Perth,London,Premium Economy,922.5,Yes,2,Vegetarian
18/07/2024,PA008,Perth,New York,First Class,395.0,Yes,2,Dairy Free
03/05/2024,PA001,London,New York,First Class,567.0,Yes,2,Vegan
07/02/2024,PA009,New York,Tokyo,Business Class,421.2,Yes,0,Vegetarian
06/08/2024,PA002,New York,London,Business Class,586.8,Yes,1,Vegetarian
13/12/2024,PA009,New York,Tokyo,Business Class,604.8,Yes,1,Vegan
04/07/2024,PA007,New York,Perth,Premium Economy,1080.0,Yes,3,Vegan
01/07/2024,PA004,Perth,London,Economy,1235.0,Yes,1,Vegan
13/08/2024,PA011,Perth,Tokyo,Business Class,768.0,Yes,3,Nut Free
16/12/2024,PA002,New York,London,Premium Economy,620.0,Yes,2,Egg Free
28/02/2024,PA006,Tokyo,London,Economy,1695.0,Yes,0,Dairy Free
19/11/2024,PA002,New York,London,Business Class,375.6,Yes,0,Nut Free
27/02/2024,PA009,New York,Tokyo,Business Class,369.6,Yes,1,Dairy Free
08/02/2024,PA006,Tokyo,London,Economy,1310.0,Yes,1,Dairy Free
14/02/2024,PA010,Tokyo,New York,Premium Economy,1107.5,Yes,1,Vegetarian
15/08/2024,PA012,Tokyo,Perth,Business Class,507.6,Yes,1,Vegan
07/03/2024,PA001,London,New York,Economy,2960.0,Yes,1,Egg Free
30/10/2024,PA010,Tokyo,New York,Business Class,402.0,Yes,2,Nut Free
01/05/2024,PA002,New York,London,First Class,277.0,Yes,3,Dairy Free
26/12/2024,PA008,Perth,New York,Business Class,475.2,Yes,1,Vegan
25/07/2024,PA012,Tokyo,Perth,Economy,3115.0,Yes,2,
07/09/2024,PA009,New York,Tokyo,Economy,3310.0,Yes,0,Vegetarian
22/07/2024,PA006,Tokyo,London,Premium Economy,602.5,Yes,2,
14/03/2024,PA005,London,Tokyo,Premium Economy,1457.5,Yes,3,Dairy Free
27/08/2024,PA007,New York,Perth,Business Class,726.0,Yes,3,Dairy Free
23/09/2024,PA009,New York,Tokyo,Premium Economy,1275.0,Yes,2,Nut Free
10/10/2024,PA002,New York,London,Economy,3000.0,Yes,1,Vegan
12/06/2024,PA009,New York,Tokyo,Premium Economy,1715.0,Yes,0,Vegan
31/08/2024,PA004,Perth,London,First Class,599.0,Yes,0,Egg Free
28/01/2024,PA001,London,New York,Premium Economy,1395.0,Yes,0,Vegetarian
26/05/2024,PA003,London,Perth,Economy,2455.0,Yes,3,Dairy Free
28/08/2024,PA004,Perth,London,Economy,3050.0,Yes,3,Egg Free
03/01/2024,PA011,Perth,Tokyo,Economy,3500.0,Yes,2,Nut Free
23/12/2024,PA006,Tokyo,London,Business Class,480.0,Yes,2,Dairy Free
10/11/2024,PA007,New York,Perth,Premium Economy,1070.0,Yes,3,Vegetarian
26/03/2024,PA003,London,Perth,Business Class,508.8,Yes,1,Dairy Free
14/12/2024,PA011,Perth,Tokyo,Premium Economy,1310.0,Yes,3,Vegetarian
10/07/2024,PA005,London,Tokyo,Business Class,787.2,Yes,3,Dairy Free
31/10/2024,PA002,New York,London,First Class,275.0,Yes,1,Nut Free
14/05/2024,PA008,Perth,New York,Premium Economy,1477.5,Yes,1,Nut Free
04/04/2024,PA009,New York,Tokyo,Economy,3175.0,Yes,0,Vegetarian
20/06/2024,PA006,Tokyo,London,First Class,200.0,Yes,2,Dairy Free
13/02/2024,PA004,Perth,London,Premium Economy,752.5,Yes,0,
14/05/2024,PA006,Tokyo,London,Premium Economy,990.0,Yes,2,Egg Free
29/10/2024,PA001,London,New York,First Class,216.0,Yes,0,Nut Free
10/02/2024,PA005,London,Tokyo,First Class,681.0,Yes,1,Vegetarian
13/08/2024,PA008,Perth,New York,First Class,506.0,Yes,2,Nut Free
03/04/2024,PA001,London,New York,Business Class,298.8,Yes,0,Vegan
19/06/2024,PA009,New York,Tokyo,Premium Economy,1275.0,Yes,1,
07/03/2024,PA009,New York,Tokyo,Business Class,332.4,Yes,3,Egg Free
30/08/2024,PA005,London,Tokyo,Economy,3315.0,Yes,3,Nut Free
03/06/2024,PA002,New York,London,Economy,1230.0,Yes,0,Vegetarian
01/10/2024,PA002,New York,London,Economy,2415.0,Yes,0,Vegan
24/04/2024,PA012,Tokyo,Perth,Premium Economy,535.0,Yes,2,Vegan
20/06/2024,PA001,London,New York,Premium Economy,930.0,Yes,0,Vegan
09/10/2024,PA003,London,Perth,Economy,3415.0,Yes,3,Vegetarian
20/10/2024,PA005,London,Tokyo,First Class,514.0,Yes,1,Nut Free
15/02/2024,PA009,New York,Tokyo,Economy,2980.0,Yes,0,
15/01/2024,PA008,Perth,New York,Business Class,502.8,Yes,3,Vegan
16/08/2024,PA010,Tokyo,New York,Economy,3265.0,Yes,2,Vegetarian
02/08/2024,PA008,Perth,New York,Premium Economy,1550.0,Yes,1,Dairy Free
13/07/2024,PA005,London,Tokyo,Economy,1480.0,Yes,1,Vegetarian
27/01/2024,PA002,New York,London,Business Class,489.6,Yes,1,
19/09/2024,PA002,New York,London,Premium Economy,635.0,Yes,1,Vegetarian
16/08/2024,PA007,New York,Perth,Premium Economy,757.5,Yes,3,Egg Free
15/10/2024,PA009,New York,Tokyo,Premium Economy,870.0,Yes,0,Dairy Free
12/03/2024,PA007,New York,Perth,Business Class,434.4,Yes,1,Nut Free
15/04/2024,PA003,London,Perth,Business Class,249.6,Yes,3,Egg Free
13/05/2024,PA004,Perth,London,Economy,2785.0,Yes,3,Vegan
30/08/2024,PA005,London,Tokyo,Business Class,811.2,Yes,3,Vegan
01/10/2024,PA004,Perth,London,First Class,510.0,Yes,1,Vegetarian
19/05/2024,PA010,Tokyo,New York,Premium Economy,1555.0,Yes,2,Egg Free
01/06/2024,PA009,New York,Tokyo,First Class,274.0,Yes,3,Vegetarian
11/05/2024,PA005,London,Tokyo,Business Class,706.8,Yes,1,Egg Free
12/09/2024,PA008,Perth,New York,Economy,1315.0,Yes,0,Dairy Free
23/08/2024,PA011,Perth,Tokyo,Economy,1160.0,Yes,1,Dairy Free
23/09/2024,PA012,Tokyo,Perth,Economy,3495.0,Yes,0,Egg Free
27/07/2024,PA003,London,Perth,Premium Economy,1232.5,Yes,1,
22/11/2024,PA001,London,New York,Economy,1030.0,Yes,1,
29/05/2024,PA010,Tokyo,New York,Economy,2765.0,Yes,3,Dairy Free
04/02/2024,PA008,Perth,New York,Economy,1295.0,Yes,2,Egg Free
10/09/2024,PA012,Tokyo,Perth,Business Class,420.0,Yes,2,Nut Free
21/12/2024,PA002,New York,London,Business Class,379.2,Yes,0,Dairy Free
25/12/2024,PA003,London,Perth,First Class,473.0,Yes,0,
15/07/2024,PA011,Perth,Tokyo,Premium Economy,1670.0,Yes,1,Vegan
09/12/2024,PA003,London,Perth,First Class,602.0,Yes,2,Egg Free
20/09/2024,PA010,Tokyo,New York,First Class,214.0,Yes,3,Dairy Free
23/12/2024,PA009,New York,Tokyo,Premium Economy,952.5,Yes,2,Egg Free
28/11/2024,PA005,London,Tokyo,Economy,2830.0,Yes,3,Vegan
03/12/2024,PA002,New York,London,Business Class,710.4,Yes,1,Dairy Free
05/03/2024,PA004,Perth,London,Economy,2655.0,Yes,2,Egg Free
08/12/2024,PA009,New York,Tokyo,First Class,644.0,Yes,0,Egg Free
23/07/2024,PA004,Perth,London,Economy,1360.0,Yes,3,Nut Free
23/03/2024,PA011,Perth,Tokyo,Premium Economy,572.5,Yes,2,Vegetarian
25/03/2024,PA004,Perth,London,Premium Economy,885.0,Yes,3,Egg Free
18/05/2024,PA008,Perth,New York,First Class,625.0,Yes,2,Egg Free
29/03/2024,PA002,New York,London,Economy,1515.0,Yes,2,
29/05/2024,PA008,Perth,New York,Economy,3435.0,Yes,2,Egg Free
16/03/2024,PA011,Perth,Tokyo,Economy,2305.0,Yes,2,Vegetarian
07/08/2024,PA006,Tokyo,London,Business Class,460.8,Yes,1,Dairy Free
16/09/2024,PA001,London,New York,Premium Economy,507.5,Yes,0,Nut Free
22/09/2024,PA012,Tokyo,Perth,Economy,1550.0,Yes,1,Nut Free
04/04/2024,PA012,Tokyo,Perth,Business Class,583.2,Yes,1,Vegetarian
